status,match_key,landsd_en,landsd_zh,landsd_district,landsd_date,landsd_gn,our_first_en,our_first_zh,our_first_date,our_first_gn,our_first_event_id,our_first_change_kind,our_latest_date,our_latest_gn,our_latest_event_id,our_latest_change_kind,date_eq_first,gn_eq_first,date_eq_latest,gn_eq_latest,notes
agree_latest,en_zh:Magnolia Road|玉蘭路,MAGNOLIA ROAD,玉蘭路,SSP,1953-11-20,GN1420,Magnolia Road,玉蘭路,1953-11-20,GN1420,crowd|1953-gn1420-yau-yat-chuen-Magnolia-Road-玉蘭路-1953-11-20,declare,1953-11-20,GN1420,crowd|1953-gn1420-yau-yat-chuen-Magnolia-Road-玉蘭路-1953-11-20,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Maidstone Lane|美善同里,MAIDSTONE LANE,美善同里,KC,1954-06-11,GN713,Maidstone Lane,美善同里,1954-06-11,GN713,crowd|1954-gn713-maidstone-Maidstone-Lane-美善同里-1954-06-11,declare,1954-06-11,GN713,crowd|1954-gn713-maidstone-Maidstone-Lane-美善同里-1954-06-11,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Maidstone Road|美善同道,MAIDSTONE ROAD,美善同道,KC,1954-06-11,GN713,Maidstone Road,美善同道,1954-06-11,GN713,crowd|1954-gn713-maidstone-Maidstone-Road-美善同道-1954-06-11,declare,1954-06-11,GN713,crowd|1954-gn713-maidstone-Maidstone-Road-美善同道-1954-06-11,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Malacca Street|馬來街,MALACCA STREET,馬來街,KC,1929-05-31,GN283,Malacca Street,馬來街,1929-05-31,GN283,crowd|1929-gn283-malacca-street-11364-1929-05-31,declare,1929-05-31,GN283,crowd|1929-gn283-malacca-street-11364-1929-05-31,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Man Chat Road|文質路,MAN CHAT ROAD,文質路,TM,2015-03-13,GN2183,Man Chat Road,文質路,2015-03-13,GN2183,2015-03-13|GN2183|0,declare,2015-03-13,GN2183,2015-03-13|GN2183|0,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Man Cheong Street|文昌街,MAN CHEONG STREET,文昌街,YTM,1974-07-12,GN1739,Man Cheong Street,文昌街,1974-07-12,GN1739,crowd|1974-gn1739-11366,declare,1974-07-12,GN1739,crowd|1974-gn1739-11366,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Man Fat Street|文發街,MAN FAT STREET,文發街,SSP,1977-12-16,GN3094,Man Fat Street,文發街,1977-12-16,GN3094,crowd|1977-gn3094-man-fat-street-Man-Fat-Street-文發街-1977-12-16,declare,1977-12-16,GN3094,crowd|1977-gn3094-man-fat-street-Man-Fat-Street-文發街-1977-12-16,declare,true,true,true,true,first_equals_latest
agree_latest,en:MAN HANG STREET,MAN HANG STREET,文恆街,ST,1981-06-12,GN1685,Man Hang Street,文恒街,1981-06-12,GN1685,crowd|1981-gn1685-fo-tan-streets-Man-Hang-Street-文恒街-1981-06-12,declare,1981-06-12,GN1685,crowd|1981-gn1685-fo-tan-streets-Man-Hang-Street-文恒街-1981-06-12,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Man Hong Street|民康街,MAN HONG STREET,民康街,E,1984-11-30,GN3529,Man Hong Street,民康街,1984-11-30,GN3529,crowd|1984-gn3529-eastern-Man-Hong-Street-民康街-1984-11-30,declare,1984-11-30,GN3529,crowd|1984-gn3529-eastern-Man-Hong-Street-民康街-1984-11-30,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Man Hop Path|民合徑,MAN HOP PATH,民合徑,YL,1983-06-03,GN1752,Man Hop Path,民合徑,1983-06-03,GN1752,crowd|1983-gn1752-yuen-long-Man-Hop-Path-民合徑-1983-06-03,declare,1983-06-03,GN1752,crowd|1983-gn1752-yuen-long-Man-Hop-Path-民合徑-1983-06-03,declare,true,true,true,true,first_equals_latest
