event_id,source,publication_date,change_kind,street_name_en,street_name_zh,district_raw_en,notice_no
2015-01-23|GN1172|0,egazette_pdf,1981-12-11,declare,Concorde Road,協調道,,GN1172
crowd|2017-gn2428-tier-c-1-1981-12-11,crowdsubmitted,1981-12-11,declare,Cargo Circuit,貨運道,,GN3682
2009-12-18|GN7994|0,egazette_pdf,1984-11-30,declare,Lai Ping Road,麗坪路,"Sha Tin District, New Territories",GN7994
2009-12-18|GN7994|1,egazette_pdf,1984-11-30,declare,Yung Ping Path,雍坪徑,"Sha Tin District, New Territories",GN7994
2015-08-28|GN6517|0,egazette_pdf,1985-12-27,declare,Fuk Man Road,福民路,,GN6517
1992-05-29|GN6117|1,egazette_pdf,1990-11-30,declare,Tong Hang Road,,"Tuen Mun, New Territories",GN6117
1992-05-29|GN6117|2,egazette_pdf,1990-11-30,declare,Tsz Tin Road,,"Tuen Mun, New Territories",GN6117
2015-11-13|GN8863|0,egazette_pdf,1992-01-31,declare,,馬鞍山路,,GN8863
2015-11-13|GN8863|1,egazette_pdf,1992-01-31,declare,,大老山公路,,GN8863
2014-02-14|GN933|0,egazette_pdf,1992-04-10,declare,Sai Kung Rural Committee Lane,西貢鄉事會里,,GN933
1992-05-29|GN6117|0,egazette_pdf,1992-05-29,declare,Hing Kwai Street,,"Tuen Mun, New Territories",GN6117
2010-01-15|GN296|0,egazette_pdf,1997-10-17,declare,Lung Wui Road,龍匯道,"Central and Western District, Hong Kong Island",GN296
crowd|2018-gn2323-tier-c-1-1998-01-09,crowdsubmitted,1998-01-09,declare,San Chuk Street,新竹街,,GN172
2013-08-02|GN4532|0,egazette_pdf,2000-12-15,declare,,牛皮沙街,,GN4532
crowd|2021-gn6002-tier-c-1-2002-05-31,crowdsubmitted,2002-05-31,declare,Cheong Lin Path,暢連徑,,GN3296
2013-11-01|GN6569|0,egazette_pdf,2003-01-10,declare,On Lai Street,安麗街,,GN6569
